null	NN	JJ	``	WRB	PRP	DT	NNP	FW	NNS	JJS	JJR	UH	MD	VBD	WP	VBG	CC	''	CD	PDT	RBS	VBN	#	RBR	$	IN	VBP	WDT	SYM	NNPS	(	)	WP$	VB	,	.	VBZ	RB	PRP$	EX	POS	:	TO	RP	
NN	0.11772315653298836	0.010017580522108336	0.0021892725644342722	0.0019902477858493384	0.0052741566325007466	0.007761966364812419	0.009752214150661758	1.6585398215411152E-4	0.08495040965933592	0.0	0.0013600026536637144	0.0	0.018177596444090623	0.048628387567585495	0.0024546389358808506	0.00789464955053571	0.039705443327694295	0.005207815039639102	0.0054068398182240355	0.0017580522108335821	1.990247785849338E-4	0.01210734069725014	3.31707964308223E-5	0.0038478123859753874	4.975619464623346E-4	0.2477526785418118	0.0036487876073904536	0.007861478754104886	9.95123892924669E-5	2.9853716787740076E-4	0.0017912230072644043	0.0020234185822801606	1.990247785849338E-4	0.0014263442465253591	0.11248217069691843	0.10568215742859986	0.038776661027631276	0.017049789365442665	1.6585398215411152E-4	3.3170796430822305E-4	0.02202540883006601	0.011477095565064517	0.04146349553852788	6.63415928616446E-5	
JJ	0.4580053496369889	0.07329002674818494	0.0016048910966755827	6.878104700038212E-4	0.002369124952235384	0.00588460068781047	0.033091325945739394	7.642338555598012E-5	0.22506687046236148	3.056935422239205E-4	1.5284677111196025E-4	0.0	6.11387084447841E-4	0.0015284677111196026	5.349636988918609E-4	0.0021398547955674436	0.016278181123423767	0.004508979747802827	0.015437523882307987	7.642338555598012E-5	1.5284677111196025E-4	0.002751241880015285	7.642338555598012E-5	7.642338555598012E-5	0.002216278181123424	0.053725640045854034	3.056935422239205E-4	5.349636988918609E-4	0.0	0.0033626289644631256	6.11387084447841E-4	5.349636988918609E-4	7.642338555598012E-5	3.8211692777990065E-4	0.028200229270156668	0.026366068016813144	6.878104700038212E-4	0.005273213603362629	3.056935422239205E-4	0.0	0.0	0.002751241880015285	0.02972869698127627	2.292701566679404E-4	
``	0.08752449379490529	0.1038536903984324	0.0	0.009797517962116264	0.21293272370999347	0.15218811234487264	0.07576747224036577	0.0013063357282821686	0.03527106466361855	0.0032658393207054214	0.005878510777269758	0.001959503592423253	0.013716525146962769	0.011103853690398433	0.006531678641410843	0.015676028739386023	0.017635532331809273	0.0	0.006531678641410843	6.531678641410843E-4	0.0013063357282821686	0.015022860875244938	0.0	6.531678641410843E-4	0.0	0.06923579359895493	0.015676028739386023	0.001959503592423253	0.0	0.002612671456564337	0.0	0.0	0.0	0.022860875244937948	0.0	0.0	0.02155453951665578	0.051600261267145654	0.009144350097975179	0.02155453951665578	0.0	0.0	0.005225342913128674	0.0	
WRB	0.07322175732217573	0.08158995815899582	0.0	0.0	0.2489539748953975	0.26359832635983266	0.0899581589958159	0.0	0.07531380753138076	0.0	0.0020920502092050207	0.0	0.010460251046025104	0.0	0.0	0.0041841004184100415	0.0	0.0	0.008368200836820083	0.0	0.0	0.0041841004184100415	0.0	0.0	0.0	0.010460251046025104	0.006276150627615063	0.0020920502092050207	0.0	0.008368200836820083	0.0	0.0	0.0	0.0020920502092050207	0.0041841004184100415	0.0041841004184100415	0.0041841004184100415	0.03556485355648536	0.02510460251046025	0.008368200836820083	0.0	0.0	0.027196652719665274	0.0	
PRP	0.002356020942408377	0.009162303664921465	0.0034031413612565444	0.0013089005235602095	0.002617801047120419	0.014659685863874346	0.0010471204188481676	0.0	0.0015706806282722514	0.0	0.0015706806282722514	0.0	0.11387434554973822	0.2557591623036649	0.0010471204188481676	0.0010471204188481676	0.0062827225130890054	0.0	7.853403141361257E-4	0.0	2.617801047120419E-4	0.0013089005235602095	0.0	0.0010471204188481676	7.853403141361257E-4	0.042408376963350786	0.19005235602094242	0.0	0.0	0.0	5.235602094240838E-4	0.0010471204188481676	0.0	0.008376963350785341	0.018586387434554975	0.033769633507853405	0.2162303664921466	0.05445026178010471	0.0	2.617801047120419E-4	0.0	0.0020942408376963353	0.012303664921465968	0.0	
DT	0.48453776929370057	0.19890919007362967	0.004908644668666485	0.0	7.63566948459231E-4	0.001308971911644396	0.1110444505044996	1.636214889555495E-4	0.07324788655576765	0.00932642487046632	0.00638123806926643	2.18161985274066E-4	0.001745295882192528	0.0032178892827924733	6.54485955822198E-4	0.010089991818925552	0.0010362694300518134	0.0	0.025743114262339786	0.0	0.003054267793836924	0.015598581947095718	3.27242977911099E-4	0.0013635124079629125	0.008453776929370058	0.008235614944095991	9.271884374147805E-4	2.18161985274066E-4	0.0	0.0021270793564221436	4.36323970548132E-4	1.09080992637033E-4	0.0	7.63566948459231E-4	0.0023452413416962096	0.001745295882192528	0.00889010089991819	0.0109080992637033	4.36323970548132E-4	0.0	0.0	4.908644668666485E-4	2.727024815925825E-4	0.0	
NNP	0.06482599074632871	0.011164755582377792	0.001056125528062764	9.555421444377389E-4	8.046670690002012E-4	0.0026654596660631662	0.39011265338966	6.537919935626635E-4	0.026855763427881714	0.0	2.011667672500503E-4	0.0	0.01036008851337759	0.06296519814926574	5.532086099376383E-4	0.002363709515188091	0.042144437738885536	0.0021625427479380404	0.0171997585998793	0.0	0.0	4.023335345001006E-4	0.0	3.52041842687588E-4	1.0058338362502515E-4	0.03917722792194729	0.0033695433514383424	0.0012572922953128143	0.0	0.011064172198752767	0.0031180848923757793	0.003067793200563267	0.0	0.00176020921343794	0.13935827801247233	0.05542144437738886	0.03540535103600885	0.007895795614564475	1.5087507543753772E-4	0.0	0.04727419030376182	0.006688795011064172	0.007141420237376786	0.007996378998189498	
FW	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.39473684210526316	0.07894736842105263	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07894736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.21052631578947367	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.0	
NNS	0.018503561201262942	0.018870695352081652	0.0024965122255672222	0.0023496585652397384	0.004479036639988252	0.01762243923929804	0.0030839268668771567	0.0	0.011234305015052501	1.4685366032748365E-4	0.0011014024524561275	0.0	0.028709890594023055	0.07886041559585873	0.008003524487847859	0.014758792862912108	0.05962258609295837	0.003818195168514575	0.0019825244144210294	0.0	2.937073206549673E-4	0.022982597841251194	0.0	0.0016888170937660622	1.4685366032748365E-4	0.231514795506278	0.08847933034730891	0.011601439165871209	0.0	7.342683016374182E-5	0.003891621998678317	0.0013951097731110947	5.139878111461928E-4	0.0012482561127836111	0.11821719656362435	0.13231514795506277	0.007048975695719216	0.0319406711212277	7.342683016374183E-4	4.40560980982451E-4	0.009839195241941405	0.01967839048388281	0.040311329759894265	0.0	
JJS	0.40106951871657753	0.08823529411764706	0.00267379679144385	0.00267379679144385	0.013368983957219251	0.040106951871657755	0.008021390374331552	0.0	0.1443850267379679	0.0	0.0	0.0	0.00267379679144385	0.00267379679144385	0.0	0.013368983957219251	0.0053475935828877	0.00267379679144385	0.07219251336898395	0.0	0.0	0.0	0.0	0.0	0.0053475935828877	0.10695187165775401	0.0106951871657754	0.0	0.0	0.00267379679144385	0.0	0.0	0.0	0.008021390374331552	0.0213903743315508	0.008021390374331552	0.0106951871657754	0.0213903743315508	0.0	0.0	0.0	0.0053475935828877	0.0	0.0	
JJR	0.27549824150058616	0.02579132473622509	0.0023446658851113715	0.0023446658851113715	0.0011723329425556857	0.012895662368112544	0.017584994138335287	0.0	0.14302461899179367	0.0	0.0	0.0	0.0023446658851113715	0.0	0.0	0.007033997655334115	0.022274325908558032	0.0	0.0035169988276670576	0.0	0.0	0.0023446658851113715	0.0	0.0	0.0	0.35990621336459555	0.0	0.0	0.0	0.0011723329425556857	0.0	0.0011723329425556857	0.0	0.009378663540445486	0.03634232121922626	0.0492379835873388	0.0011723329425556857	0.0011723329425556857	0.0023446658851113715	0.0	0.0	0.0035169988276670576	0.016412661195779603	0.0	
UH	0.0	0.0	0.0	0.0	0.06666666666666667	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.13333333333333333	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	
MD	0.0	0.0	0.005076142131979695	0.0	0.00692201199815413	0.0055376095985233045	0.0	0.0	9.229349330872173E-4	0.0	9.229349330872173E-4	0.0	0.0	0.0023073373327180432	0.0	0.0	4.6146746654360867E-4	0.0	0.0	0.0	0.0	4.6146746654360867E-4	0.0	9.229349330872173E-4	0.0	0.004153207198892478	0.0	0.0	0.0	0.0	0.0	4.6146746654360867E-4	0.0	0.7872634979233964	0.0036917397323488694	0.0018458698661744347	0.0	0.17443470235348407	4.6146746654360867E-4	0.0	0.0	0.0	0.004153207198892478	0.0	
VBD	0.043439584877687176	0.061971830985915494	0.00770941438102298	0.0010378057820607859	0.053224610822831725	0.15389177168272794	0.0452186805040771	0.0	0.02535211267605634	1.4825796886582654E-4	0.009191994069681245	0.0	4.4477390659747963E-4	0.0017790956263899185	5.930318754633062E-4	0.026389918458117122	0.0032616753150481836	2.965159377316531E-4	0.07249814677538918	2.965159377316531E-4	2.965159377316531E-4	0.09117865085248332	0.0	0.0010378057820607859	0.017642698295033357	0.13610081541882876	1.4825796886582654E-4	7.412898443291327E-4	0.0	0.0	2.965159377316531E-4	1.4825796886582654E-4	0.0	0.0034099332839140103	0.02609340252038547	0.04744255003706449	8.895478131949593E-4	0.07783543365455893	0.02357301704966642	0.0014825796886582653	0.0	0.0028169014084507044	0.06048925129725723	0.0016308376575240918	
WP	0.022684310018903593	0.003780718336483932	0.003780718336483932	0.0	0.08506616257088846	0.04914933837429111	0.007561436672967864	0.0	0.015122873345935728	0.0	0.001890359168241966	0.0	0.06994328922495274	0.2646502835538752	0.0	0.0	0.0	0.0	0.001890359168241966	0.0	0.0	0.0	0.0	0.0	0.0	0.00945179584120983	0.17958412098298676	0.0	0.0	0.0	0.0	0.001890359168241966	0.0	0.001890359168241966	0.001890359168241966	0.0	0.21550094517958412	0.04725897920604915	0.003780718336483932	0.0	0.0	0.0	0.013232514177693762	0.0	
VBG	0.12927872860635697	0.0647921760391198	0.005806845965770171	0.0018337408312958435	0.02231051344743276	0.19223716381418093	0.039119804400977995	0.0	0.0895476772616137	0.0	0.008863080684596576	0.0	0.0	0.0024449877750611247	0.0027506112469437654	0.0018337408312958435	0.009168704156479218	0.0018337408312958435	0.01558679706601467	9.168704156479218E-4	9.168704156479218E-4	0.03178484107579462	0.0	0.003056234718826406	0.005806845965770171	0.16228606356968214	3.056234718826406E-4	0.001528117359413203	0.0	9.168704156479218E-4	3.056234718826406E-4	6.112469437652812E-4	0.0	0.0033618581907090463	0.017420537897310514	0.014364303178484108	0.005501222493887531	0.03850855745721271	0.027811735941320293	6.112469437652812E-4	0.0	0.0012224938875305623	0.08924205378973105	0.006112469437652812	
CC	0.12248696947133283	0.10629188384214446	0.0068875651526433355	0.004095309009679821	0.03220402084884587	0.11075949367088607	0.16102010424422933	0.0	0.07166790766939687	1.8615040953090097E-4	0.012472077438570366	1.8615040953090097E-4	0.011355174981384959	0.035740878629932984	0.0020476545048399106	0.022338049143708117	0.0	0.0	0.05156366344005957	3.7230081906180194E-4	0.0033507073715562173	0.021034996276991808	0.0	0.0020476545048399106	0.025502606105733433	0.04877140729709605	0.008376768428890544	7.446016381236039E-4	0.0	0.0022338049143708115	1.8615040953090097E-4	1.8615040953090097E-4	1.8615040953090097E-4	0.03332092330603127	0.006142963514519732	3.7230081906180194E-4	0.02140729709605361	0.045420699925539834	0.016567386448250187	0.004467609828741623	0.0	0.0	0.00781831720029784	1.8615040953090097E-4	
''	0.043536503683858	0.01808439383791025	0.014735432016075016	0.004688546550569324	0.09578030810448761	0.10046885465505694	0.13864701942397856	0.0	0.029470864032150032	0.0013395847287340924	0.0	0.0	0.008037508372404554	0.08305425318151373	0.0026791694574681848	0.012726054922973878	0.05760214333556597	0.007367716008037508	0.004688546550569324	0.0	0.0	0.006028131279303416	0.0	0.0	6.697923643670462E-4	0.13261888814467515	0.003348961821835231	0.008707300736771601	0.0	0.0	0.010046885465505693	6.697923643670462E-4	0.0	0.004018754186202277	0.0013395847287340924	6.697923643670462E-4	0.13998660415271266	0.038178164768921635	0.004018754186202277	0.0026791694574681848	0.0	0.008707300736771601	0.015405224380442064	0.0	
CD	0.20384846662657846	0.037161755862898375	9.621166566446182E-4	7.215874924834636E-4	4.810583283223091E-4	0.031629585087191825	0.013349368610944077	0.0	0.14419723391461214	8.418520745640408E-4	0.002164762477450391	0.0	0.0020444978953698136	0.006855081178592904	6.013229104028864E-4	0.0019242333132892364	0.01719783523752255	3.607937462417318E-4	0.19819603126879135	0.0	1.2026458208057727E-4	0.0033674082982561634	0.0	1.2026458208057727E-4	1.2026458208057727E-4	0.0862297053517739	6.013229104028864E-4	0.0010823812387251955	1.2026458208057727E-4	0.0010823812387251955	0.0016837041491280817	0.0076969332531569455	0.0	7.215874924834636E-4	0.10378833433553819	0.07444377630787732	0.00613349368610944	0.004449789536981359	1.2026458208057727E-4	0.0	9.621166566446182E-4	0.00613349368610944	0.03836440168370415	1.2026458208057727E-4	
PDT	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
RBS	0.031413612565445025	0.418848167539267	0.005235602094240838	0.0	0.0	0.0	0.015706806282722512	0.0	0.13612565445026178	0.0	0.0	0.0	0.0	0.0	0.0	0.005235602094240838	0.0	0.0	0.0	0.0	0.0	0.05759162303664921	0.0	0.0	0.0	0.193717277486911	0.010471204188481676	0.0	0.0	0.0	0.0	0.0	0.0	0.005235602094240838	0.005235602094240838	0.010471204188481676	0.0	0.10471204188481675	0.0	0.0	0.0	0.0	0.0	0.0	
VBN	0.09090909090909091	0.045559521310098675	0.004828889355448247	0.002939323955490237	0.008188116733151375	0.06466512702078522	0.03086290153264749	0.0	0.04429981104346	0.0	0.005668696199874029	0.0	0.0014696619777451185	0.0010497585555322277	8.39806844425782E-4	0.015956330044089858	0.013226957799706068	0.002939323955490237	0.01868570228847365	4.19903422212891E-4	2.099517111064455E-4	0.03128280495486038	2.099517111064455E-4	0.001679613688851564	0.008188116733151375	0.36321646021415077	0.0010497585555322277	4.19903422212891E-4	0.0	2.099517111064455E-4	2.099517111064455E-4	0.0010497585555322277	0.0	0.0010497585555322277	0.029813142977115265	0.0447197144656729	0.001679613688851564	0.042410245643501994	0.01028763384421583	0.0	0.0	0.0039890825110224645	0.10497585555322275	8.39806844425782E-4	
#	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
RBR	0.0	0.367601246105919	0.0	0.0	0.0	0.09968847352024922	0.003115264797507788	0.0	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.0	0.01557632398753894	0.0	0.0	0.0	0.0	0.021806853582554516	0.0	0.0	0.0	0.07476635514018691	0.006230529595015576	0.0	0.0	0.0	0.0	0.0	0.0	0.003115264797507788	0.06542056074766354	0.2087227414330218	0.0	0.10903426791277258	0.0	0.0	0.003115264797507788	0.009345794392523364	0.003115264797507788	0.0	
$	0.009142857142857144	0.004	0.0	0.0	0.0	0.0	5.714285714285715E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.714285714285715E-4	0.0	0.0	0.9851428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.714285714285715E-4	0.0	0.0	0.0	0.0	0.0	0.0	
IN	0.111535758214725	0.08416798453698823	0.006062203479177649	0.001713231418028466	0.030794236513793708	0.3261729045861887	0.13679493937796522	2.1964505359339307E-4	0.06154454401686874	0.0030311017395888247	0.005359339307678791	0.0	1.7571604287471446E-4	1.7571604287471446E-4	0.0024160955895273237	0.027719205763486205	0.0018450184501845018	5.271481286241434E-4	0.06211562115621156	0.0012300123001230013	0.0018010894394658232	0.005842558425584256	7.028641714988579E-4	4.8321911790546475E-4	0.02785099279564224	0.029739940256545423	3.514320857494289E-4	0.0032507467931822175	0.0	0.0018889474609031804	4.3929010718678614E-4	4.3929010718678616E-5	0.0	4.3929010718678614E-4	0.0044807590933052185	7.907221929362151E-4	0.0013178703215603585	0.014979792655069407	0.036680723950096646	0.0014496573537163943	0.0	4.3929010718678614E-4	0.003426462836056932	0.0	
